TradeID,Portfolio,Trader,Symbol,Quantity,Price,Side,TradeDate,SettlementDate,Exchange,Currency,AssetClass,Sector,Broker,Counterparty,Commission
15,Retirement,Denise,NVDA,100,282.57,SELL,2026-07-10,2026-07-12,NASDAQ,USD,Equity,Technology,Citi,"Wagner, Marshall and Mooney",14.13
16,Balanced,Darrell,BAC,500,110.15,SELL,2026-07-25,2026-07-27,NYSE,USD,Equity,Financial,UBS,Mcmillan-Powers,27.54
17,ETF,Michael,XOM,500,480.51,BUY,2026-07-10,2026-07-12,NYSE,USD,Equity,Energy,Citi,Stewart-Santana,120.13
18,Growth,Lisa,MSFT,200,44.51,BUY,2026-07-22,2026-07-24,NASDAQ,USD,Equity,Technology,JPMorgan,York-Jones,4.45
19,Balanced,Steven,WFC,200,337.58,SELL,2026-07-07,2026-07-09,NYSE,USD,Equity,Financial,Bank of America,"Ortega, Mays and Shepherd",33.76
20,Growth,Linda,XOM,100,61.71,BUY,2026-07-09,2026-07-11,NYSE,USD,Equity,Energy,Bank of America,Jones-Gray,3.09
21,Growth,Jessica,CVX,0,93.24,BUY,2026-07-20,2026-07-22,NYSE,USD,Equity,Energy,UBS,Butler-Patterson,4.66
22,Growth,Katrina,CVX,500,58.5,SELL,2026-07-15,2026-07-17,NYSE,USD,Equity,Energy,JPMorgan,Roberts Group,14.62
23,Balanced,Jacob,XOM,200,323.82,SELL,2026-07-24,2026-07-26,NYSE,USD,Equity,Energy,JPMorgan,Cooper Inc,32.38
24,Retirement,Nicole,WFC,1000,243.08,BUY,2026-07-28,2026-07-30,NYSE,USD,Equity,Financial,Goldman Sachs,Lopez-Erickson,121.54
25,Income,Ryan,TSLA,200,27.14,BUY,2026-07-06,2026-07-08,NASDAQ,USD,Equity,Auto,Bank of America,Patrick-Owens,2.71
26,Balanced,Sarah,NVDA,200,220.84,BUY,2026-07-17,2026-07-19,NASDAQ,USD,Equity,Technology,Goldman Sachs,Hoover Ltd,22.08
27,Balanced,Miguel,PFE,100,106.8,BUY,2026-07-03,2026-07-05,NYSE,USD,Equity,Healthcare,Goldman Sachs,"Torres, Medina and Hanson",5.34
28,Growth,Andrew,AMZN,200,268.95,BUY,2026-07-13,2026-07-15,NASDAQ,USD,Equity,Consumer,Morgan Stanley,Atkins-Torres,26.89
29,ETF,Michelle,MSFT,200,224.39,BUY,2026-07-26,2026-07-28,NASDAQ,USD,Equity,Technology,Goldman Sachs,Williams-Gregory,22.44
30,Balanced,Katelyn,MSFT,500,437.96,SELL,2026-07-04,2026-07-06,NASDAQ,USD,Equity,Technology,Morgan Stanley,Poole-Henry,109.49
31,Growth,Sara,WFC,100,221.81,TEST,2026-07-27,2026-07-29,NYSE,USD,Equity,Financial,Citi,Pruitt and Sons,11.09
32,Balanced,Colton,AMZN,200,234.0,BUY,2026-07-10,2026-07-12,NASDAQ,USD,Equity,Consumer,UBS,Ruiz LLC,23.4
33,Income,Patricia,AMZN,1000,272.68,SELL,2026-07-11,2026-07-13,NASDAQ,USD,Equity,Consumer,Citi,Chen-Wilson,136.34
34,Income,Nicholas,TSLA,100,408.33,BUY,2026-07-19,2026-07-21,NASDAQ,USD,Equity,Auto,Bank of America,Harmon-Randall,20.42
35,ETF,Brian,CVX,100,328.95,BUY,2026-07-12,2026-07-14,NYSE,USD,Equity,Energy,Goldman Sachs,Hopkins Group,16.45
36,Retirement,Helen,JNJ,100,56.25,BUY,2026-07-27,2026-07-29,NYSE,USD,Equity,Healthcare,Morgan Stanley,"Hamilton, Garcia and Rose",2.81
37,ETF,Chris,BAC,100,171.37,SELL,2026-07-28,2026-07-30,NYSE,USD,Equity,Financial,Citi,Russell-Martinez,8.57
38,ETF,Nicole,AMZN,100,204.1,BUY,2026-07-23,2026-07-25,NASDAQ,USD,Equity,Consumer,JPMorgan,Guzman-Lawrence,10.21
39,Income,Timothy,AMZN,200,232.7,SELL,2026-07-16,2026-07-18,NASDAQ,USD,Equity,Consumer,UBS,Warren Inc,23.27
40,Income,Ronald,MSFT,200,176.33,BUY,2026-07-07,2026-07-09,NASDAQ,USD,Equity,Technology,JPMorgan,Jenkins-Lane,17.63
41,Retirement,,TSLA,500,243.37,BUY,2026-07-28,2026-07-30,NASDAQ,USD,Equity,Auto,Bank of America,White LLC,60.84
42,Balanced,Debbie,JNJ,1000,116.13,SELL,2026-07-10,2026-07-12,NYSE,USD,Equity,Healthcare,Citi,Brown Group,58.06
43,Income,Phillip,JNJ,1000,103.97,SELL,2026-07-15,2026-07-17,NYSE,USD,Equity,Healthcare,Goldman Sachs,Simmons-Parker,51.98
44,Balanced,Nicole,TSLA,500,363.44,BUY,2026-07-11,2026-07-13,NASDAQ,USD,Equity,Auto,JPMorgan,"Gonzalez, Frederick and Williams",90.86
45,Balanced,Laura,NVDA,1000,234.04,SELL,2026-07-23,2026-07-25,NASDAQ,USD,Equity,Technology,Bank of America,Malone-Turner,117.02
46,Retirement,Elizabeth,JNJ,500,83.56,SELL,2026-07-30,2026-08-01,NYSE,USD,Equity,Healthcare,Goldman Sachs,"Lopez, Franklin and Murphy",20.89
47,ETF,Joshua,TSLA,100,79.61,BUY,2026-07-13,2026-07-15,NASDAQ,USD,Equity,Auto,Citi,"Dixon, Mckenzie and Hinton",3.98
48,Retirement,Victoria,NVDA,1000,181.63,BUY,2026-07-14,2026-07-16,NASDAQ,USD,Equity,Technology,Citi,"Patrick, Gonzalez and Fernandez",90.81
49,ETF,Victor,NVDA,1000,461.75,SELL,2026-07-20,2026-07-22,NASDAQ,USD,Equity,Technology,Goldman Sachs,Morris-Lester,230.88
50,ETF,Douglas,TSLA,100,220.02,BUY,2026-07-14,2026-07-16,NASDAQ,USD,Equity,Auto,Goldman Sachs,"Chavez, Baldwin and Baxter",11.0
51,,Elizabeth,WFC,500,464.74,BUY,2026-07-28,2026-07-30,NYSE,USD,Equity,Financial,Citi,Bradley-Campos,116.19
52,Growth,Jasmin,TSLA,100,89.55,BUY,2026-07-19,2026-07-21,NASDAQ,USD,Equity,Auto,UBS,"Gonzalez, Velazquez and Foley",4.48
53,ETF,David,TSLA,500,182.37,BUY,2026-07-15,2026-07-17,NASDAQ,USD,Equity,Auto,Goldman Sachs,"Hale, Rasmussen and Barnett",45.59
54,Income,Eric,BAC,200,231.14,SELL,2026-07-11,2026-07-13,NYSE,USD,Equity,Financial,Goldman Sachs,Lynch-Phillips,23.11
55,Retirement,David,CVX,100,460.83,SELL,2026-07-09,2026-07-11,NYSE,USD,Equity,Energy,Citi,"Ryan, Coleman and Gilbert",23.04
56,Balanced,Meghan,AAPL,100,480.27,SELL,2026-07-25,2026-07-27,NASDAQ,USD,Equity,Technology,Citi,Grimes-Lopez,24.01
57,ETF,Marie,META,1000,166.82,BUY,2026-07-06,2026-07-08,NASDAQ,USD,Equity,Technology,JPMorgan,"Davis, Mendez and Dean",83.41
58,Balanced,Nancy,BAC,500,188.55,BUY,2026-07-12,2026-07-14,NYSE,USD,Equity,Financial,Morgan Stanley,Green-Johnson,47.14
59,ETF,Aaron,TSLA,1000,471.72,BUY,2026-07-19,2026-07-21,NASDAQ,USD,Equity,Auto,UBS,"Santiago, Nash and Avila",235.86
60,Retirement,Karen,META,100,124.48,SELL,2026-07-23,2026-07-25,NASDAQ,USD,Equity,Technology,Citi,Bruce Group,6.22
61,Income,Brandon,XXXX,500,467.51,SELL,2026-07-19,2026-07-21,NYSE,USD,Equity,Energy,UBS,"Wu, Faulkner and Haynes",116.88
62,Income,Daniel,CVX,100,37.28,SELL,2026-07-16,2026-07-18,NYSE,USD,Equity,Energy,Morgan Stanley,Brown Inc,1.86
63,Retirement,Matthew,BAC,200,288.31,BUY,2026-07-21,2026-07-23,NYSE,USD,Equity,Financial,Citi,Brown Ltd,28.83
64,Balanced,Francisco,META,200,422.29,SELL,2026-07-11,2026-07-13,NASDAQ,USD,Equity,Technology,Goldman Sachs,"Golden, Smith and Mullen",42.23
65,Balanced,Kim,TSLA,100,392.48,BUY,2026-07-22,2026-07-24,NASDAQ,USD,Equity,Auto,Morgan Stanley,"Howell, Obrien and Le",19.62
66,ETF,Adam,GOOGL,1000,40.37,BUY,2026-07-25,2026-07-27,NASDAQ,USD,Equity,Technology,Citi,"Oliver, Myers and Brown",20.18
67,Retirement,Alexandra,TSLA,100,471.64,BUY,2026-07-15,2026-07-17,NASDAQ,USD,Equity,Auto,JPMorgan,Miller Inc,23.58
68,Income,Vanessa,WFC,500,392.28,SELL,2026-07-03,2026-07-05,NYSE,USD,Equity,Financial,Bank of America,Coleman-Benitez,98.07
69,Growth,Steven,GS,200,226.51,SELL,2026-07-13,2026-07-15,NYSE,USD,Equity,Financial,JPMorgan,Pace-Pace,22.65
70,Balanced,Brianna,NVDA,100,92.4,SELL,2026-07-22,2026-07-24,NASDAQ,USD,Equity,Technology,Goldman Sachs,"King, Rogers and Cox",4.62
71,Balanced,Cody,BAC,200,147.32,SELL,2026-07-27,2026-07-29,NYSE,USD,Equity,Financial,Citi,"Perez, Robinson and Smith",14.73
72,Balanced,Stephanie,JPM,500,61.76,SELL,2026-07-16,2026-07-18,NYSE,USD,Equity,Financial,Morgan Stanley,"Bolton, Wiley and Lopez",15.44
73,Balanced,Ryan,META,200,398.97,SELL,2026-07-20,2026-07-22,NASDAQ,USD,Equity,Technology,Bank of America,Simmons Ltd,39.9
74,Retirement,Matthew,PFE,500,25.79,BUY,2026-07-03,2026-07-05,NYSE,USD,Equity,Healthcare,Citi,"Herrera, Johnson and Garner",6.45
75,Income,Henry,XOM,1000,277.14,BUY,2026-07-29,2026-07-31,NYSE,USD,Equity,Energy,Bank of America,Wright-Delgado,138.57
76,Retirement,Kimberly,AMZN,200,269.82,BUY,2026-07-02,2026-07-04,NASDAQ,USD,Equity,Consumer,UBS,Estrada Group,26.98
77,Retirement,Michael,JNJ,500,352.13,BUY,2026-07-21,2026-07-23,NYSE,USD,Equity,Healthcare,Morgan Stanley,"Fuller, Black and Austin",88.03
78,Income,Cody,MSFT,100,47.02,BUY,2026-07-05,2026-07-07,NASDAQ,USD,Equity,Technology,Morgan Stanley,"Brooks, Heath and Dennis",2.35
79,Growth,Abigail,BAC,500,461.23,SELL,2026-07-26,2026-07-28,NYSE,USD,Equity,Financial,Citi,Mullins LLC,115.31
80,ETF,Kayla,PFE,100,78.03,BUY,2026-07-26,2026-07-28,NYSE,USD,Equity,Healthcare,Morgan Stanley,Vang LLC,3.9
81,Growth,Terri,NVDA,500,146.28,SELL,2026-07-19,2026-07-21,NASDAQ,USD,Equity,Technology,Bank of America,Garcia Group,36.57
82,Balanced,Jane,PFE,200,73.56,BUY,2026-07-19,2026-07-21,NYSE,USD,Equity,Healthcare,UBS,Clark-Leon,7.36
83,ETF,Kristine,AMZN,1000,381.17,BUY,2026-07-23,2026-07-25,NASDAQ,USD,Equity,Consumer,Bank of America,Martin-Day,190.59
84,Retirement,Jamie,AMZN,500,370.73,BUY,2026-07-12,2026-07-14,NASDAQ,USD,Equity,Consumer,Morgan Stanley,Diaz-Harvey,92.68
85,Growth,Courtney,TSLA,500,67.47,BUY,2026-07-20,2026-07-22,NASDAQ,USD,Equity,Auto,Bank of America,Hogan-Gentry,16.87
86,Growth,Jonathan,AMZN,500,162.22,SELL,2026-07-06,2026-07-08,NASDAQ,USD,Equity,Consumer,Bank of America,"Gray, Gonzalez and Ali",40.55
87,Growth,Cheryl,MSFT,100,396.33,BUY,2026-07-08,2026-07-10,NASDAQ,USD,Equity,Technology,Bank of America,Burns LLC,19.82
88,ETF,Evan,NVDA,1000,125.97,BUY,2026-07-30,2026-08-01,NASDAQ,USD,Equity,Technology,JPMorgan,Adams-Hill,62.98
89,Retirement,Molly,AAPL,200,313.77,SELL,2026-07-15,2026-07-17,NASDAQ,USD,Equity,Technology,UBS,Reyes Group,31.38
90,ETF,Taylor,META,100,286.26,BUY,2026-07-28,2026-07-30,NASDAQ,USD,Equity,Technology,UBS,Ryan PLC,14.31
91,Growth,Edward,GOOGL,200,35.16,SELL,2026-07-15,2026-07-17,NASDAQ,USD,Equity,Technology,Citi,"Jones, Griffin and Smith",3.52
92,Retirement,Heather,JPM,100,326.6,BUY,2026-07-05,2026-07-07,NYSE,USD,Equity,Financial,Morgan Stanley,Fuller PLC,16.33
93,Balanced,Brian,CVX,200,448.18,SELL,2026-07-26,2026-07-28,NYSE,USD,Equity,Energy,UBS,Tucker-Baker,44.82
94,Retirement,Ana,CVX,500,405.35,BUY,2026-07-30,2026-08-01,NYSE,USD,Equity,Energy,Morgan Stanley,"Lyons, Jones and Williams",101.34
95,Income,Matthew,META,1000,473.65,BUY,2026-07-27,2026-07-29,NASDAQ,USD,Equity,Technology,Goldman Sachs,Gomez-Koch,236.83
96,Growth,Todd,PFE,500,301.01,SELL,2026-07-12,2026-07-14,NYSE,USD,Equity,Healthcare,UBS,Rodriguez LLC,75.25
97,ETF,Susan,XOM,500,418.52,BUY,2026-07-03,2026-07-05,NYSE,USD,Equity,Energy,Goldman Sachs,Dominguez Ltd,104.63
98,Growth,Mackenzie,AAPL,200,451.91,SELL,2026-07-03,2026-07-05,NASDAQ,USD,Equity,Technology,Citi,Sanders-Brooks,45.19
99,ETF,Joshua,XOM,100,67.19,BUY,2026-07-20,2026-07-22,NYSE,USD,Equity,Energy,JPMorgan,Williams-Carney,3.36
100,Income,Michael,NVDA,1000,161.26,SELL,2026-07-05,2026-07-07,NASDAQ,USD,Equity,Technology,Citi,"Ramirez, Kent and Cantu",80.63
101,Retirement,Lauren,TSLA,500,476.36,SELL,2026-07-08,2026-07-10,NASDAQ,USD,Equity,Auto,Morgan Stanley,Jackson-Scott,119.09
102,ETF,Derrick,GOOGL,500,201.82,BUY,2026-07-06,2026-07-08,NASDAQ,USD,Equity,Technology,Citi,"Barnett, Walsh and Jensen",50.45
103,Growth,Jennifer,AAPL,500,148.29,BUY,2026-07-27,2026-07-29,NASDAQ,USD,Equity,Technology,Bank of America,"Shannon, Wright and Fernandez",37.07
104,Retirement,Larry,BAC,200,188.98,SELL,2026-07-08,2026-07-10,NYSE,USD,Equity,Financial,Citi,Friedman LLC,18.9
105,Income,Andrea,GS,500,209.85,BUY,2026-07-30,2026-08-01,NYSE,USD,Equity,Financial,JPMorgan,Lopez Ltd,52.46
106,Income,Brenda,META,1000,95.75,BUY,2026-07-21,2026-07-23,NASDAQ,USD,Equity,Technology,Citi,"Sims, Schmidt and Montgomery",47.88
107,Income,Margaret,CVX,100,333.2,BUY,2026-07-05,2026-07-07,NYSE,USD,Equity,Energy,Bank of America,"Gonzales, Rhodes and Leonard",16.66
108,Balanced,Cindy,CVX,200,271.55,SELL,2026-07-17,2026-07-19,NYSE,USD,Equity,Energy,Bank of America,Chapman-Garcia,27.16
109,Growth,Vincent,GOOGL,500,453.92,SELL,2026-07-22,2026-07-24,NASDAQ,USD,Equity,Technology,JPMorgan,Stokes PLC,113.48
110,Growth,Luke,WFC,200,463.25,BUY,2026-07-21,2026-07-23,NYSE,USD,Equity,Financial,Goldman Sachs,Vasquez and Sons,46.33
111,Retirement,Shane,PFE,1000,180.92,BUY,2026-07-16,2026-07-18,NYSE,USD,Equity,Healthcare,Citi,"Ramirez, Flores and Taylor",90.46
112,Balanced,Martin,TSLA,200,159.01,BUY,2026-07-30,2026-08-01,NASDAQ,USD,Equity,Auto,Citi,Thompson and Sons,15.9
113,Growth,Janice,JNJ,200,439.39,SELL,2026-07-26,2026-07-28,NYSE,USD,Equity,Healthcare,Citi,"Johnson, Castillo and Hines",43.94
114,Growth,Jason,XOM,500,306.74,BUY,2026-07-28,2026-07-30,NYSE,USD,Equity,Energy,Bank of America,Fuller-Wade,76.69
115,Income,Daniel,BAC,200,148.64,BUY,2026-07-13,2026-07-15,NYSE,USD,Equity,Financial,UBS,Morgan-Beck,14.86
116,Growth,Janet,AMZN,1000,172.74,BUY,2026-07-09,2026-07-11,NASDAQ,USD,Equity,Consumer,JPMorgan,Mendez Group,86.37
117,ETF,Debbie,GOOGL,100,71.76,BUY,2026-07-30,2026-08-01,NASDAQ,USD,Equity,Technology,Goldman Sachs,Davis Inc,3.59
118,Balanced,Alexander,CVX,500,494.87,BUY,2026-07-10,2026-07-12,NYSE,USD,Equity,Energy,Morgan Stanley,Odonnell PLC,123.72
119,ETF,Kristen,JPM,100,45.73,SELL,2026-07-06,2026-07-08,NYSE,USD,Equity,Financial,Goldman Sachs,"Davis, Stevens and Scott",2.29
120,Income,Thomas,JPM,500,169.12,SELL,2026-07-02,2026-07-04,NYSE,USD,Equity,Financial,UBS,Taylor-Miller,42.28
121,Income,Linda,XOM,500,182.01,SELL,2026-07-18,2026-07-20,NYSE,USD,Equity,Energy,UBS,Mcknight Group,45.5
122,Growth,Emily,GS,500,40.63,SELL,2026-07-17,2026-07-19,NYSE,USD,Equity,Financial,Goldman Sachs,"Cooper, Wilson and Peterson",10.16
123,Growth,Lisa,WFC,1000,84.18,BUY,2026-07-16,2026-07-18,NYSE,USD,Equity,Financial,Citi,Clark Group,42.09
124,ETF,Aimee,XOM,200,152.16,BUY,2026-07-15,2026-07-17,NYSE,USD,Equity,Energy,Goldman Sachs,Coleman-Baird,15.22
125,Growth,Meagan,BAC,500,42.93,SELL,2026-07-31,2026-08-02,NYSE,USD,Equity,Financial,JPMorgan,Henry-Garcia,10.73
126,ETF,Jonathan,JPM,500,326.75,BUY,2026-07-27,2026-07-29,NYSE,USD,Equity,Financial,Bank of America,Little Group,81.69
127,Balanced,Maureen,CVX,200,372.79,BUY,2026-07-03,2026-07-05,NYSE,USD,Equity,Energy,UBS,Zimmerman Inc,37.28
128,Retirement,Derek,BAC,1000,296.39,BUY,2026-07-21,2026-07-23,NYSE,USD,Equity,Financial,Morgan Stanley,"Russell, Cline and Giles",148.19
129,Income,Tiffany,JPM,500,345.37,SELL,2026-07-06,2026-07-08,NYSE,USD,Equity,Financial,JPMorgan,"Martinez, Garrett and Barrera",86.34
130,Retirement,Gerald,PFE,1000,294.42,SELL,2026-07-14,2026-07-16,NYSE,USD,Equity,Healthcare,JPMorgan,Ramirez-Suarez,147.21
131,ETF,Sharon,META,1000,431.0,SELL,2026-07-30,2026-08-01,NASDAQ,USD,Equity,Technology,JPMorgan,Kennedy Inc,215.5
132,Growth,Michael,AMZN,200,488.04,SELL,2026-07-21,2026-07-23,NASDAQ,USD,Equity,Consumer,Bank of America,Miller-Moreno,48.8
133,Growth,Hunter,META,500,147.83,SELL,2026-07-09,2026-07-11,NASDAQ,USD,Equity,Technology,JPMorgan,White Group,36.96
134,Growth,Jason,WFC,100,424.35,BUY,2026-07-16,2026-07-18,NYSE,USD,Equity,Financial,Citi,Meyer PLC,21.22
135,Growth,Joe,AMZN,500,397.62,SELL,2026-07-10,2026-07-12,NASDAQ,USD,Equity,Consumer,Bank of America,Turner-Black,99.41
136,Retirement,Matthew,BAC,1000,344.44,SELL,2026-07-04,2026-07-06,NYSE,USD,Equity,Financial,JPMorgan,Ellis and Sons,172.22
137,Growth,Devin,MSFT,500,75.51,SELL,2026-07-27,2026-07-29,NASDAQ,USD,Equity,Technology,JPMorgan,"Garrett, Nichols and Bryant",18.88
138,ETF,Victoria,JPM,200,55.11,SELL,2026-07-13,2026-07-15,NYSE,USD,Equity,Financial,Citi,Sosa-Villa,5.51
139,Income,Michael,JNJ,100,349.42,SELL,2026-07-18,2026-07-20,NYSE,USD,Equity,Healthcare,Goldman Sachs,Walker Ltd,17.47
140,Growth,Joseph,AMZN,200,365.3,SELL,2026-07-07,2026-07-09,NASDAQ,USD,Equity,Consumer,Bank of America,Miller-Sharp,36.53
141,ETF,Antonio,NVDA,500,457.72,SELL,2026-07-27,2026-07-29,NASDAQ,USD,Equity,Technology,JPMorgan,"Moss, Johnson and Newman",114.43
142,Retirement,George,JNJ,200,290.42,BUY,2026-07-02,2026-07-04,NYSE,USD,Equity,Healthcare,JPMorgan,Munoz-Benton,29.04
143,Income,Laurie,AMZN,500,92.85,SELL,2026-07-17,2026-07-19,NASDAQ,USD,Equity,Consumer,UBS,Gomez Ltd,23.21
144,Balanced,Gabriel,JPM,1000,39.1,BUY,2026-07-02,2026-07-04,NYSE,USD,Equity,Financial,JPMorgan,Torres PLC,19.55
145,ETF,James,MSFT,100,442.68,SELL,2026-07-13,2026-07-15,NASDAQ,USD,Equity,Technology,Citi,Reeves-Anthony,22.13
146,Balanced,Amanda,GOOGL,200,230.89,BUY,2026-07-20,2026-07-22,NASDAQ,USD,Equity,Technology,Goldman Sachs,Coffey PLC,23.09
147,ETF,Richard,GS,1000,484.2,SELL,2026-07-26,2026-07-28,NYSE,USD,Equity,Financial,Citi,Nguyen-Livingston,242.1
148,Balanced,Nancy,CVX,100,252.38,BUY,2026-07-24,2026-07-26,NYSE,USD,Equity,Energy,Citi,"Davidson, Nguyen and Lee",12.62
149,Growth,Joshua,GS,200,141.2,BUY,2026-07-22,2026-07-24,NYSE,USD,Equity,Financial,JPMorgan,"Rhodes, Benson and Martinez",14.12
150,Income,Karen,TSLA,100,203.82,SELL,2026-07-16,2026-07-18,NASDAQ,USD,Equity,Auto,Goldman Sachs,Wright-Shelton,10.19
151,Retirement,Danielle,JPM,1000,499.51,SELL,2026-07-13,2026-07-15,NYSE,USD,Equity,Financial,Citi,Travis-Morris,249.75
152,Income,Caitlyn,META,100,364.69,SELL,2026-07-19,2026-07-21,NASDAQ,USD,Equity,Technology,JPMorgan,Smith-Herring,18.23
153,Income,Jessica,WFC,500,345.13,SELL,2026-07-15,2026-07-17,NYSE,USD,Equity,Financial,Bank of America,Tucker-Greer,86.28
154,Balanced,Donald,MSFT,100,134.23,BUY,2026-07-07,2026-07-09,NASDAQ,USD,Equity,Technology,Morgan Stanley,Hines Inc,6.71
155,Balanced,Jonathan,BAC,100,342.21,BUY,2026-07-10,2026-07-12,NYSE,USD,Equity,Financial,JPMorgan,Hernandez Inc,17.11
156,Retirement,Dylan,JPM,200,338.06,SELL,2026-07-18,2026-07-20,NYSE,USD,Equity,Financial,UBS,Bright LLC,33.81
157,Income,David,AAPL,100,78.95,SELL,2026-07-21,2026-07-23,NASDAQ,USD,Equity,Technology,Citi,Williams PLC,3.95
158,Income,Justin,CVX,500,375.9,SELL,2026-07-13,2026-07-15,NYSE,USD,Equity,Energy,Citi,Wilson-Torres,93.98
159,Retirement,Douglas,GS,1000,260.75,SELL,2026-07-12,2026-07-14,NYSE,USD,Equity,Financial,Goldman Sachs,Perez PLC,130.38
160,ETF,Jesus,WFC,500,362.45,SELL,2026-07-28,2026-07-30,NYSE,USD,Equity,Financial,Morgan Stanley,Knight Group,90.61
161,Balanced,Rachel,GOOGL,1000,265.97,BUY,2026-07-16,2026-07-18,NASDAQ,USD,Equity,Technology,Bank of America,Fischer PLC,132.99
162,Balanced,Janet,JPM,100,117.89,SELL,2026-07-28,2026-07-30,NYSE,USD,Equity,Financial,UBS,Davis Ltd,5.89
163,Balanced,Nicole,BAC,200,404.29,SELL,2026-07-31,2026-08-02,NYSE,USD,Equity,Financial,Morgan Stanley,"Miller, Martinez and Lawrence",40.43
164,Retirement,Brian,XOM,1000,318.36,SELL,2026-07-08,2026-07-10,NYSE,USD,Equity,Energy,Goldman Sachs,Baker-Peterson,159.18
165,Growth,Amy,JPM,500,223.1,BUY,2026-07-19,2026-07-21,NYSE,USD,Equity,Financial,Bank of America,Walsh-Velez,55.77
166,Income,Christina,GS,200,256.25,SELL,2026-07-11,2026-07-13,NYSE,USD,Equity,Financial,Morgan Stanley,"Taylor, Coleman and Jackson",25.62
167,Growth,Andrea,AAPL,500,160.68,BUY,2026-07-25,2026-07-27,NASDAQ,USD,Equity,Technology,Citi,Clark-Smith,40.17
168,ETF,Randy,AMZN,1000,313.14,SELL,2026-07-03,2026-07-05,NASDAQ,USD,Equity,Consumer,JPMorgan,Garcia-Bryan,156.57
169,Retirement,Charles,AAPL,200,91.12,SELL,2026-07-28,2026-07-30,NASDAQ,USD,Equity,Technology,Citi,Hill Inc,9.11
170,ETF,Ryan,TSLA,200,236.72,SELL,2026-07-05,2026-07-07,NASDAQ,USD,Equity,Auto,Bank of America,Rivera-Smith,23.67
171,ETF,Daniel,TSLA,500,211.49,SELL,2026-07-26,2026-07-28,NASDAQ,USD,Equity,Auto,Morgan Stanley,"Moyer, Robinson and Oneill",52.87
172,ETF,Brittany,AAPL,200,428.91,BUY,2026-07-10,2026-07-12,NASDAQ,USD,Equity,Technology,Bank of America,"Watkins, Hall and Harris",42.89
173,Retirement,Tricia,TSLA,100,385.52,BUY,2026-07-29,2026-07-31,NASDAQ,USD,Equity,Auto,Goldman Sachs,Carter and Sons,19.28
174,Growth,Robert,JNJ,200,223.92,BUY,2026-07-12,2026-07-14,NYSE,USD,Equity,Healthcare,Goldman Sachs,Miller Group,22.39
175,Retirement,April,BAC,500,291.47,BUY,2026-07-12,2026-07-14,NYSE,USD,Equity,Financial,Citi,Gallagher LLC,72.87
176,Balanced,Paula,GOOGL,500,267.92,SELL,2026-07-20,2026-07-22,NASDAQ,USD,Equity,Technology,Morgan Stanley,"Morales, Carr and Fields",66.98
177,Income,Natalie,JPM,100,184.98,BUY,2026-07-24,2026-07-26,NYSE,USD,Equity,Financial,Citi,Savage-Brown,9.25
178,Income,Edward,AAPL,200,75.5,BUY,2026-07-07,2026-07-09,NASDAQ,USD,Equity,Technology,Bank of America,Lawson Group,7.55
